app_id,app_name,theme_id,theme_label,category,n_reviews,theme_share_in_app,rating_gap,share_low_1_2,is_critical,app_priority_score,within_app_rank,priority_bucket,recommended_owner,recommended_action
com.rovio.dream,Angry Birds Dream Blast,crash_bug,Crash & Bug,Stability,61,0.072533,1.766944,0.704918,1,0.13551528583309433,1,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
com.rovio.dream,Angry Birds Dream Blast,loading_performance,Loading & Performance,Performance,33,0.039239,1.312399,0.545455,0,0.028089418513829262,2,P0,Engineering,Optimize cold-start/loading path and reduce lag spikes.
com.rovio.dream,Angry Birds Dream Blast,pay_to_win,Pay-to-win / Greedy,Monetization,11,0.01308,2.403308,0.818182,0,0.025719770966412477,3,P0,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
com.rovio.dream,Angry Birds Dream Blast,purchase_issue,Purchase Issue,Monetization,3,0.003567,2.433611,1.0,1,0.0130210356555,4,P0,Product + Economy,Fix purchase failure/refund edge-cases and monitor payment errors.
com.rovio.dream,Angry Birds Dream Blast,update_issue,Update Issue,Operations,8,0.009512,1.016944,0.5,0,0.004836585664,5,P2,LiveOps,Add pre-release regression checklist and staged rollout guardrails.
com.rovio.dream,Angry Birds Dream Blast,ads_volume,Ads Volume,Monetization,3,0.003567,1.433611,0.666667,0,0.0034091286625634785,6,P3,Product + Economy,"Reduce ad frequency, especially in early progression and fail loops."
com.rovio.dream,Angry Birds Dream Blast,ads_quality,Ads Quality,Monetization,1,0.001189,2.766944,1.0,0,0.003289896416,7,P3,Product + Economy,Block low-quality ad creatives and tighten ad network filters.
com.rovio.dream,Angry Birds Dream Blast,algorithm_fairness,Algorithm Fairness,Game Design,6,0.007134,1.266944,0.333333,0,0.003012789819207168,8,P3,Game Design,Audit RNG fairness perception and expose clearer game feedback.
com.rovio.dream,Angry Birds Dream Blast,difficulty_progression,Difficulty & Progression,Game Design,12,0.014269,0.516944,0.333333,0,0.0024587555199086877,9,P3,Game Design,Tune progression curve and reduce hard-level clustering.
com.rovio.dream,Angry Birds Dream Blast,rewards_energy,Rewards & Energy,Game Design,1,0.001189,-0.233056,0.0,0,0.0,10,P3,Game Design,Adjust rewards/energy pacing to reduce frustration loops.
com.rovio.angrybirdsfriends,Angry Birds Friends,crash_bug,Crash & Bug,Stability,49,0.068917,1.313442,0.612245,1,0.0831292323065024,1,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
com.rovio.angrybirdsfriends,Angry Birds Friends,loading_performance,Loading & Performance,Performance,26,0.036568,1.599156,0.692308,0,0.04048474333721127,2,P0,Engineering,Optimize cold-start/loading path and reduce lag spikes.
com.rovio.angrybirdsfriends,Angry Birds Friends,pay_to_win,Pay-to-win / Greedy,Monetization,13,0.018284,1.983772,0.846154,0,0.030691094790044192,3,P0,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
com.rovio.angrybirdsfriends,Angry Birds Friends,algorithm_fairness,Algorithm Fairness,Game Design,8,0.011252,1.849156,0.75,0,0.015605027484,4,P1,Game Design,Audit RNG fairness perception and expose clearer game feedback.
com.rovio.angrybirdsfriends,Angry Birds Friends,ads_volume,Ads Volume,Monetization,4,0.005626,2.099156,0.75,0,0.008857388741999999,5,P2,Product + Economy,"Reduce ad frequency, especially in early progression and fail loops."
com.rovio.angrybirdsfriends,Angry Birds Friends,account_login,Account & Login,Account,2,0.002813,2.099156,1.0,1,0.008857388741999999,5,P0,Platform/Backend,Stabilize login/sync flows and progress restoration paths.
com.rovio.angrybirdsfriends,Angry Birds Friends,ui_navigation,UI / Navigation,UX,1,0.001406,2.599156,1.0,0,0.0036544133359999995,7,P3,UX,Simplify menu/findability and improve tutorial guidance.
com.rovio.angrybirdsfriends,Angry Birds Friends,difficulty_progression,Difficulty & Progression,Game Design,8,0.011252,0.599156,0.375,0,0.002528138742,8,P3,Game Design,Tune progression curve and reduce hard-level clustering.
com.king.candycrushsaga,Candy Crush Saga,loading_performance,Loading & Performance,Performance,7,0.013645,2.513784,0.714286,0,0.024500426000166477,1,P0,Engineering,Optimize cold-start/loading path and reduce lag spikes.
com.king.candycrushsaga,Candy Crush Saga,crash_bug,Crash & Bug,Stability,5,0.009747,1.42807,0.6,1,0.012527458461,2,P0,Engineering,Prioritize crash triage and top-stack fixes in next release.
com.king.candycrushsaga,Candy Crush Saga,difficulty_progression,Difficulty & Progression,Game Design,3,0.005848,1.894737,0.666667,0,0.007386951677473992,3,P2,Game Design,Tune progression curve and reduce hard-level clustering.
com.king.candycrushsaga,Candy Crush Saga,pay_to_win,Pay-to-win / Greedy,Monetization,1,0.001949,3.22807,1.0,0,0.00629150843,4,P2,Product + Economy,"Rebalance economy pressure (moves, boosters, paywall pacing)."
com.king.candycrushsaga,Candy Crush Saga,algorithm_fairness,Algorithm Fairness,Game Design,1,0.001949,2.22807,1.0,0,0.00434250843,5,P2,Game Design,Audit RNG fairness perception and expose clearer game feedback.
com.king.candycrushsaga,Candy Crush Saga,purchase_issue,Purchase Issue,Monetization,2,0.003899,0.22807,0.0,1,0.0,6,P3,Product + Economy,Fix purchase failure/refund edge-cases and monitor payment errors.
com.king.candycrushsodasaga,Candy Crush Soda Saga,difficulty_progression,Difficulty & Progression,Game Design,12,0.018462,2.384359,0.833333,0,0.03668334854165471,1,P0,Game Design,Tune progression curve and reduce hard-level clustering.
